json.subject,json.createdAt,json.closedAt,json.business_hours_reply,json.timeToFirstReply,json.timeToClose,json.firstResponseMet
Report on Increase Network Errors [SUP28228352675],2025-08-15T10:05:12.000Z,,1.134055556,1h 8m,,TRUE
X-2 and Assurance Switches [SUP30338028159],2025-09-24T10:52:25.000Z,,124.1263889,548h 11m,,FALSE
On a detection callback... [SUP30438200112],2025-09-25T07:41:44.000Z,,0,480h 10m,,TRUE
MSC Flows [SUP31594897333],2025-10-10T14:31:07.000Z,,0,113h 16m,,TRUE
Request for NDA Confirmation and Guidance on TMX v8 Library Issue [SUP32470127636],2025-10-20T09:49:42.000Z,,0.935527778,0h 56m,,TRUE
Meeting Today Possible ? [SUP32648568325],2025-10-23T09:32:03.000Z,,0,1h 24m,,TRUE
RE: Lloyds Issues [SUP32653279266],2025-10-23T11:47:31.000Z,,0,1h 17m,,TRUE
CA Configuration [SUP25691067537],2025-06-26T12:33:19.000Z,2025-06-26T12:45:06.644Z,0,2853h 58m,0h 12m,TRUE
Disabling behavioSec on iOS,2025-07-01T10:21:42.000Z,2025-07-11T08:18:56.709Z,0,2736h 10m,237h 57m,TRUE
TMX Networking Query [SUP25958814001],2025-07-02T13:10:37.000Z,2025-07-11T08:19:40.943Z,1.823055556,16h 57m,211h 9m,TRUE
Access Token Management for Web Journeys in the Mobile App [SUP25936263826],2025-07-04T09:04:23.000Z,2025-07-11T08:19:56.873Z,0,167h 16m,167h 16m,TRUE
Upgrading to CA1.5.X from CA 1.4.2 and roll back [SUP27015966019],2025-07-25T08:00:27.000Z,2025-08-18T08:55:02.979Z,0.490102222,0h 29m,576h 55m,TRUE
Reporting of Accessibility Providers and the DETECT_ACCESSIBILITY_PROVIDERS Sentinel,2025-07-25T11:57:23.000Z,2025-08-06T08:14:33.920Z,10.54361111,75h 19m,284h 17m,FALSE
Account creation [SUP27227488568],2025-07-30T09:30:29.000Z,2025-08-05T12:02:28.521Z,0.5791375,0h 35m,146h 32m,TRUE
Account Request [SUP27227179895],2025-07-30T10:13:14.000Z,2025-07-30T14:01:27.175Z,0,3h 48m,3h 48m,TRUE
Access require [SUP27239524421],2025-07-30T12:27:49.000Z,2025-07-30T14:01:19.950Z,0,1h 34m,1h 34m,TRUE
CryptoMathic account generation [SUP27231505473],2025-07-30T12:55:22.000Z,2025-07-30T14:00:55.553Z,0,1h 6m,1h 6m,TRUE
Lloyds Banking Group - Phylax - Defect Update Report [SUP27238075062],2025-07-30T13:11:26.590Z,2025-08-06T08:15:32.695Z,0,163h 4m,163h 4m,TRUE
#27238075062 [SUP27242775952],2025-07-30T13:14:06.000Z,2025-08-20T11:03:27.262Z,0.776131944,0h 47m,501h 49m,TRUE
Production Issue,2025-07-31T09:21:08.000Z,2025-09-05T08:31:44.805Z,0.935059722,0h 56m,863h 11m,TRUE
Re: Request for beta releases [SUP28504241823],2025-08-18T10:56:23.000Z,2025-09-02T08:40:54.767Z,0,357h 45m,357h 45m,TRUE
TMX_ID Format [SUP28521585064],2025-08-19T09:02:58.000Z,2025-09-05T08:56:13.284Z,0.380387222,0h 23m,407h 53m,TRUE
Logs relevant to e-mail thread [SUP28532677384],2025-08-19T11:59:15.618Z,2025-09-05T10:19:47.727Z,0,406h 21m,406h 21m,TRUE
Core Assurance Caches [SUP28610486122],2025-08-20T09:53:39.000Z,2025-09-15T05:50:52.140Z,0.935254722,0h 56m,619h 57m,TRUE
Core Assurance Caches [SUP28595465139],2025-08-20T13:51:45.000Z,2025-08-25T06:08:11.946Z,0,112h 16m,112h 16m,TRUE
Suspected Sentinel Malfunction [SUP28695805456],2025-08-21T09:15:08.536Z,2025-08-29T09:03:04.823Z,1.344078056,1h 21m,191h 48m,TRUE
Use GraalVM to preoptimise jar instead of waiting for JIT optimisation [SUP29058447967],2025-08-28T15:15:39.000Z,2025-09-18T13:00:46.498Z,0,501h 45m,501h 45m,TRUE
Network.framework bug(?) [SUP29347406698],2025-09-03T10:27:27.236Z,2025-09-05T10:14:59.517Z,0,47h 48m,47h 48m,TRUE
Data migration - request for hypothetical guidance [SUP29535778117],2025-09-10T14:15:09.000Z,2025-09-15T05:50:12.474Z,6.0992075,22h 36m,111h 35m,TRUE
ViewPIN and ViewCVV [SUP29627997971],2025-09-11T10:04:33.000Z,2025-09-18T12:41:53.373Z,0,170h 37m,170h 37m,TRUE
RE: Security Framework - LBG/Cryptomathic [SUP29648239687],2025-09-11T15:24:17.000Z,2025-09-15T05:50:00.922Z,0,139h 29m,86h 26m,TRUE
Assurance Server 1.6 question [SUP29797261167],2025-09-17T10:45:24.000Z,2025-10-15T09:20:54.381Z,1.444071944,1h 27m,670h 36m,TRUE
Lloyds Issues [SUP32635992615],2025-10-23T10:18:23.000Z,2025-10-23T11:13:58.211Z,0,0h 56m,0h 56m,TRUE
